seq_name,run_id,play_rate,N,rmse,mean,median,std,max,min
office/seq-07,run_001,0.1,61,0.22567268892319503,0.203613739373663,0.1903370575291529,0.09731190915863884,0.38691476523298485,0.01840323867471146
office/seq-08,run_001,0.1,61,0.20563885859772546,0.18523386319699844,0.14841430424961655,0.08930708869116159,0.41836271783277984,0.07937775868904932
office/seq-09,run_001,0.1,50,0.0929682503019831,0.0850140232054045,0.08374708815565038,0.037625940820704036,0.16953891161293722,0.01498784091901391
office/seq-10,run_001,0.1,74,0.21237877510866474,0.19349035022066782,0.18249641238310504,0.08755700136562534,0.4605718406663026,0.05525546845866318
pumpkin/seq-01,run_001,0.1,39,0.18417396126773086,0.15647087568333193,0.12760696838827185,0.09714377526089309,0.4901900874160021,0.036922712459428964
pumpkin/seq-02,run_001,0.1,17,0.3185623102442938,0.28734132796412254,0.24778797633693117,0.13753874636623778,0.5675334032081445,0.0791670522689342
pumpkin/seq-03,run_001,0.1,42,0.2193797772387635,0.19408417903300426,0.1769898738873824,0.10226836319416795,0.48240240454505573,0.027330047121757555
pumpkin/seq-06,run_001,0.1,41,0.12803306549531157,0.12009146066901283,0.11690498304454297,0.04439039236715169,0.2492004081313737,0.01906064735633722
pumpkin/seq-07,run_001,0.1,43,0.10753045842927886,0.09656294274896239,0.0863082633007638,0.04731170656054881,0.19432109488643556,0.005778769432830679
pumpkin/seq-08,run_001,0.1,50,0.18712719028975403,0.15398548404985893,0.10680391087398294,0.1063252371155055,0.5536663064343732,0.036829878290160066
redkitchen/seq-01,run_001,0.1,35,0.08471404615869021,0.0741996346732201,0.06536119575414509,0.04087644591861394,0.20223339109847957,0.003677736371638709
redkitchen/seq-02,run_001,0.1,40,0.14427610574789854,0.13116569995639774,0.11990225795572274,0.06009287682185844,0.3086909033508769,0.032908412738547846
redkitchen/seq-03,run_001,0.1,17,0.05700540658017022,0.0498375409352572,0.04599620334570676,0.027673740132065257,0.1284310348984348,0.00917697991894011
redkitchen/seq-04,run_001,0.1,32,0.32731708540117355,0.221788652549815,0.1633730523796031,0.24072031072524094,1.3794120263408485,0.03305111804372338
redkitchen/seq-05,run_001,0.1,45,0.16277639231893876,0.14014279330183746,0.1306716350773545,0.08280188030429944,0.3809879210787715,0.016749820124821346
redkitchen/seq-06,run_001,0.1,40,0.11355827593664482,0.10836185478488361,0.10471500016555355,0.0339586581195866,0.2382783861728856,0.06202095334628079
redkitchen/seq-07,run_001,0.1,38,0.07637906663277474,0.06845417744189522,0.0633009360916834,0.03387901135581395,0.15515777158912228,0.01961348983051475
redkitchen/seq-08,run_001,0.1,52,0.08229696724418999,0.07498894597427337,0.0721419827071461,0.03390352193001177,0.15063601825729012,0.014124080308196816
redkitchen/seq-11,run_001,0.1,38,0.0717987383559043,0.06723879865417776,0.06561397626527601,0.025179411928052453,0.11217987136175205,0.01507996203268413
redkitchen/seq-12,run_001,0.1,40,0.09595721212213756,0.0819076986965348,0.07103826624935146,0.04998915334840723,0.2777324424194077,0.01856857048494973
redkitchen/seq-13,run_001,0.1,41,0.23069530988549036,0.19460219620517008,0.15767370819144214,0.12389637297066819,0.5083002606732404,0.038436143752553414
redkitchen/seq-14,run_001,0.1,43,0.12879373971458513,0.11089783738512995,0.09585626601572822,0.06549425206054017,0.33139131346007566,0.011341362060016163
stairs/seq-01,run_001,0.1,22,0.036202026639149086,0.032109450980051774,0.02601616914106894,0.016720343613135236,0.0689809646900232,0.010964320048724602
stairs/seq-02,run_001,0.1,16,0.05943333812279468,0.05706885833228788,0.055135302566547195,0.01659720124200751,0.08073486716699155,0.024114819727043477
stairs/seq-03,run_001,0.1,14,0.19049179028414015,0.1779342361395813,0.19108998418823714,0.06801859874387711,0.3379538002220648,0.040561961441274386
stairs/seq-04,run_001,0.1,25,0.10373538160572936,0.0902348486916984,0.07937448193763738,0.051173249637604494,0.24622972725277384,0.02884122050133171
stairs/seq-05,run_001,0.1,8,0.033945721644633456,0.030437508468148605,0.023065720556306363,0.01502897522209409,0.05478361157121103,0.014517443125129743
stairs/seq-06,run_001,0.1,31,0.4587441054571018,0.3445555012274863,0.20568845463786237,0.30286574726355614,1.1036710270900378,0.05991155221295317
